place_id,menu_name,menu_tag,description,price,price_raw
1baf3b21-ff47-5b88-989d-ab78b847fe16,이전 페이지,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,카페92도,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,페이지 닫기,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,"카페92도카페,디저트",,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,알림받기,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,방문자 리뷰 128블로그 리뷰 12,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,출발,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,도착,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,저장,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,거리뷰,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,공유,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,홈,,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,리뷰,사진,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,주소,사진,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,광주 서구 풍금로 41 1층,사진,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,영업시간,사진,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,영업 중,사진,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,22:00에 영업 종료,사진,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,22시 0분에 영업 종료,사진,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,펼쳐보기,사진,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,전화번호,사진,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,0507-1385-2978,사진,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,안내,사진,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,복사,사진,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,방문자 사진·영상,사진,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,방문자 사진·영상,사진,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,더보기,사진,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,이 장소와 비슷한 카페,사진,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,플레이스 플러스,사진,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,비하이브,사진,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,겨울 딸기 페스티벌,사진,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,"카페,디저트서구 치평로",사진,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,오늘 휴무,사진,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,리뷰 473,사진,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,이 장소에서 3.1km,사진,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,광고,사진,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,저스트라이크유,사진,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,"스페셜티커피,보드게임,애견동반",사진,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,"카페,디저트남구 금당로",사진,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,영업 중,사진,,,
1baf3b21-ff47-5b88-989d-ab78b847fe16,리뷰 171,사진,,,
